kernel,n,bindir,instructions,cycles,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses
dot,64,bin/O2,,,,
dot,256,bin/O2,,,,
dot,1024,bin/O2,,,,
dot,2048,bin/O2,,,,
matmul_ijk,64,bin/O2,,,,
matmul_ijk,256,bin/O2,,,,
matmul_ijk,1024,bin/O2,,,,
matmul_ijk,2048,bin/O2,,,,
matmul_ikj,64,bin/O2,,,,
matmul_ikj,256,bin/O2,,,,
matmul_ikj,1024,bin/O2,,,,
matmul_ikj,2048,bin/O2,,,,
matmul_jki,64,bin/O2,,,,
matmul_jki,256,bin/O2,,,,
matmul_jki,1024,bin/O2,,,,
matmul_jki,2048,bin/O2,,,,
matvec_col,64,bin/O2,,,,
matvec_col,256,bin/O2,,,,
matvec_col,1024,bin/O2,,,,
matvec_col,2048,bin/O2,,,,
matvec_row,64,bin/O2,,,,
matvec_row,256,bin/O2,,,,
matvec_row,1024,bin/O2,,,,
matvec_row,2048,bin/O2,,,,
dot,64,bin/O2,,,,,,,,
dot,256,bin/O2,,,,,,,,
dot,1024,bin/O2,,,,,,,,
dot,2048,bin/O2,,,,,,,,
matmul_ijk,64,bin/O2,,,,,,,,
matmul_ijk,256,bin/O2,,,,,,,,
matmul_ijk,1024,bin/O2,,,,,,,,
matmul_ijk,2048,bin/O2,,,,,,,,
matmul_ikj,64,bin/O2,,,,,,,,
matmul_ikj,256,bin/O2,,,,,,,,
matmul_ikj,1024,bin/O2,,,,,,,,
matmul_ikj,2048,bin/O2,,,,,,,,
matmul_jki,64,bin/O2,,,,,,,,
matmul_jki,256,bin/O2,,,,,,,,
matmul_jki,1024,bin/O2,,,,,,,,
matmul_jki,2048,bin/O2,,,,,,,,
matvec_col,64,bin/O2,,,,,,,,
matvec_col,256,bin/O2,,,,,,,,
matvec_col,1024,bin/O2,,,,,,,,
matvec_col,2048,bin/O2,,,,,,,,
matvec_row,64,bin/O2,,,,,,,,
matvec_row,256,bin/O2,,,,,,,,
matvec_row,1024,bin/O2,,,,,,,,
matvec_row,2048,bin/O2,,,,,,,,
